caseMasterId,crimeNo,caseNo,registeredDate,districtName,unitName,headName,subHeadName,statusName,gravityName,anomalyFlag
44914,101013002202600174,202600174,2026-07-27,Bengaluru City,Whitefield PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44913,101093074202600056,202600056,2026-07-26,Belagavi City,Belagavi South PS,Property Crimes,Robbery,Under Investigation,Heinous,false
44912,101143114202600043,202600043,2026-07-26,Davanagere,Davanagere Town PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44911,101253182202600016,202600016,2026-07-26,Ramanagara,Ramanagara Rural PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44910,101133112202600022,202600022,2026-07-26,Vijayapura,Vijayapura Market PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44909,101013011202600147,202600147,2026-07-26,Bengaluru City,Basavanagudi PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44908,101103083202600027,202600027,2026-07-26,Belagavi District,Belagavi District East PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44907,101013006202600183,202600183,2026-07-26,Bengaluru City,Yeshwanthpur PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44906,101113096202600020,202600020,2026-07-26,Kalaburagi,Kalaburagi Market PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44905,101223163202600025,202600025,2026-07-26,Mandya,Mandya Town PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44904,101103082202600023,202600023,2026-07-26,Belagavi District,Belagavi District Rural PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44903,101013006202600182,202600182,2026-07-26,Bengaluru City,Yeshwanthpur PS,Property Crimes,HB Day,Under Investigation,Non-Heinous,false
44902,101123099202600027,202600027,2026-07-26,Ballari,Ballari Rural PS,Crimes Against Body,Kidnapping,Under Investigation,Heinous,false
44901,101113090202600021,202600021,2026-07-26,Kalaburagi,Kalaburagi Rural PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44900,101333239202600017,202600017,2026-07-26,Bidar,Bidar West PS,Property Crimes,HB Day,Under Investigation,Non-Heinous,false
44899,101063050202600029,202600029,2026-07-26,Dakshina Kannada,Dakshina Kannada Rural PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44898,101053042202600037,202600037,2026-07-26,Mangaluru City,Mangaluru West PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44897,301143115202600004,202600004,2026-07-26,Davanagere,Davanagere Rural PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44896,101013004202600174,202600174,2026-07-26,Bengaluru City,Jayanagar PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44895,301173134202600003,202600003,2026-07-26,Udupi,Udupi East PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44894,101253188202600019,202600019,2026-07-26,Ramanagara,Ramanagara Market PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44893,101283205202600023,202600023,2026-07-26,Haveri,Haveri Rural PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44892,101163129202600032,202600032,2026-07-26,Tumakuru,Tumakuru South PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44891,101193145202600020,202600020,2026-07-26,Chikkamagaluru,Chikkamagaluru Rural PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44890,101163130202600035,202600035,2026-07-26,Tumakuru,Tumakuru Extension PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44889,101013008202600170,202600170,2026-07-26,Bengaluru City,HSR Layout PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44888,101033026202600047,202600047,2026-07-26,Mysuru City,Mysuru West PS,Economic Offences,Criminal Breach of Trust,Under Investigation,Non-Heinous,false
44887,101043038202600029,202600029,2026-07-26,Mysuru District,Mysuru District Extension PS,Crimes Against Body,Kidnapping,Under Investigation,Heinous,false
44886,101013011202600146,202600146,2026-07-26,Bengaluru City,Basavanagudi PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44885,101123099202600026,202600026,2026-07-26,Ballari,Ballari Rural PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44884,101013010202600174,202600174,2026-07-26,Bengaluru City,Vijayanagar PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44883,101093074202600055,202600055,2026-07-26,Belagavi City,Belagavi South PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44882,301063051202600005,202600005,2026-07-26,Dakshina Kannada,Dakshina Kannada East PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44881,101183141202600030,202600030,2026-07-26,Hassan,Hassan West PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44880,101113091202600019,202600019,2026-07-26,Kalaburagi,Kalaburagi East PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44879,101043037202600029,202600029,2026-07-26,Mysuru District,Mysuru District South PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44878,101123099202600025,202600025,2026-07-26,Ballari,Ballari Rural PS,Property Crimes,HB Day,Under Investigation,Non-Heinous,false
44877,101133106202600022,202600022,2026-07-26,Vijayapura,Vijayapura Rural PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44876,101043036202600019,202600019,2026-07-26,Mysuru District,Mysuru District North PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44875,101123104202600023,202600023,2026-07-26,Ballari,Ballari Extension PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44874,101233175202600025,202600025,2026-07-26,Kolar,Kolar South PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44873,101013005202600195,202600195,2026-07-26,Bengaluru City,Koramangala PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44872,101223163202600024,202600024,2026-07-26,Mandya,Mandya Town PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44871,101013004202600173,202600173,2026-07-26,Bengaluru City,Jayanagar PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44870,101033029202600047,202600047,2026-07-26,Mysuru City,Mysuru Extension PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44869,101263195202600021,202600021,2026-07-26,Bagalkot,Bagalkot South PS,Public Order,Unlawful Assembly,Under Investigation,Non-Heinous,false
44868,101013014202600201,202600201,2026-07-26,Bengaluru City,Electronic City PS,Public Order,Unlawful Assembly,Under Investigation,Non-Heinous,false
44867,101343244202600018,202600018,2026-07-25,Chitradurga,Chitradurga Town PS,Crimes Against Women,Rape,Under Investigation,Heinous,false
44866,101323229202600016,202600016,2026-07-25,Yadgir,Yadgir Town PS,Crimes Against Women,Molestation,Under Investigation,Non-Heinous,false
44865,101013013202600192,202600192,2026-07-25,Bengaluru City,KR Puram PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44864,101013011202600145,202600145,2026-07-25,Bengaluru City,Basavanagudi PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44863,101013014202600200,202600200,2026-07-25,Bengaluru City,Electronic City PS,Public Order,Unlawful Assembly,Under Investigation,Non-Heinous,false
44862,101333242202600023,202600023,2026-07-25,Bidar,Bidar Extension PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44861,801323231202600001,202600001,2026-07-25,Yadgir,Yadgir East PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44860,101053048202600027,202600027,2026-07-25,Mangaluru City,Mangaluru Gandhinagar PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44859,301273199202600002,202600002,2026-07-25,Gadag,Gadag Town PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44858,101043035202600030,202600030,2026-07-25,Mysuru District,Mysuru District West PS,Economic Offences,Criminal Breach of Trust,Under Investigation,Non-Heinous,false
44857,101303217202600019,202600019,2026-07-25,Raichur,Raichur South PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44856,101063049202600025,202600025,2026-07-25,Dakshina Kannada,Dakshina Kannada Town PS,Public Order,Unlawful Assembly,Under Investigation,Non-Heinous,false
44855,101333238202600013,202600013,2026-07-25,Bidar,Bidar East PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44854,101143117202600042,202600042,2026-07-25,Davanagere,Davanagere West PS,Crimes Against Body,Attempt to Murder,Under Investigation,Heinous,false
44853,101033027202600040,202600040,2026-07-25,Mysuru City,Mysuru Town PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44852,101013004202600172,202600172,2026-07-25,Bengaluru City,Jayanagar PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44851,101313226202600010,202600010,2026-07-25,Koppal,Koppal Extension PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44850,101013014202600199,202600199,2026-07-25,Bengaluru City,Electronic City PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44849,801013008202600003,202600003,2026-07-25,Bengaluru City,HSR Layout PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44848,101013014202600198,202600198,2026-07-25,Bengaluru City,Electronic City PS,Crimes Against Women,Molestation,Under Investigation,Non-Heinous,false
44847,101143115202600036,202600036,2026-07-25,Davanagere,Davanagere Rural PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44846,101013006202600181,202600181,2026-07-25,Bengaluru City,Yeshwanthpur PS,Crimes Against Body,Attempt to Murder,Under Investigation,Heinous,false
44845,101233171202600020,202600020,2026-07-25,Kolar,Kolar Rural PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44844,101013007202600180,202600180,2026-07-25,Bengaluru City,Banaswadi PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44843,301043034202600002,202600002,2026-07-25,Mysuru District,Mysuru District East PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44842,401173132202600002,202600002,2026-07-25,Udupi,Udupi Town PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44841,101213159202600016,202600016,2026-07-25,Chamarajanagar,Chamarajanagar East PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44840,101283207202600021,202600021,2026-07-25,Haveri,Haveri West PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44839,101133110202600014,202600014,2026-07-25,Vijayapura,Vijayapura South PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44838,101013005202600194,202600194,2026-07-25,Bengaluru City,Koramangala PS,Public Order,Unlawful Assembly,Under Investigation,Non-Heinous,false
44837,301013002202600009,202600009,2026-07-25,Bengaluru City,Whitefield PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44836,101013009202600198,202600198,2026-07-25,Bengaluru City,Indiranagar PS,Property Crimes,Dacoity,Under Investigation,Heinous,false
44835,101363266202600009,202600009,2026-07-25,KGF,KGF Extension PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44834,101013013202600191,202600191,2026-07-25,Bengaluru City,KR Puram PS,Public Order,Riot,Under Investigation,Non-Heinous,false
44833,101013013202600190,202600190,2026-07-25,Bengaluru City,KR Puram PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44832,101013005202600193,202600193,2026-07-25,Bengaluru City,Koramangala PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44831,101193147202600025,202600025,2026-07-25,Chikkamagaluru,Chikkamagaluru West PS,Cyber Crimes,Social-Media Offence,Under Investigation,Non-Heinous,false
44830,101213158202600018,202600018,2026-07-25,Chamarajanagar,Chamarajanagar Rural PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44829,101163128202600025,202600025,2026-07-25,Tumakuru,Tumakuru North PS,Narcotics,NDPS Trafficking,Under Investigation,Heinous,false
44828,101013011202600144,202600144,2026-07-25,Bengaluru City,Basavanagudi PS,Crimes Against Women,Molestation,Under Investigation,Non-Heinous,false
44827,801273202202600001,202600001,2026-07-25,Gadag,Gadag West PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44826,101373274202600017,202600017,2026-07-25,Vijayanagara,Vijayanagara South PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44825,101013006202600180,202600180,2026-07-25,Bengaluru City,Yeshwanthpur PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44824,101073063202600065,202600065,2026-07-25,Hubballi-Dharwad City,Hubballi-Dharwad Camp PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44813,101313227202600015,202600015,2026-07-24,Koppal,Koppal Market PS,Economic Offences,Criminal Breach of Trust,Under Investigation,Non-Heinous,false
44787,101013009202600195,202600195,2026-07-24,Bengaluru City,Indiranagar PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44788,101143115202600034,202600034,2026-07-24,Davanagere,Davanagere Rural PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44789,101183142202600031,202600031,2026-07-24,Hassan,Hassan North PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44790,101073055202600024,202600024,2026-07-24,Hubballi-Dharwad City,Hubballi-Dharwad North PS,Crimes Against Body,Kidnapping,Under Investigation,Heinous,false
44791,101193147202600024,202600024,2026-07-24,Chikkamagaluru,Chikkamagaluru West PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44792,101143115202600035,202600035,2026-07-24,Davanagere,Davanagere Rural PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44793,101183143202600027,202600027,2026-07-24,Hassan,Hassan South PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44794,301013003202600021,202600021,2026-07-24,Bengaluru City,Upparpet PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44795,101013001202600162,202600162,2026-07-24,Bengaluru City,Peenya PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44796,101233176202600016,202600016,2026-07-24,Kolar,Kolar Extension PS,Narcotics,NDPS Trafficking,Under Investigation,Heinous,false
44797,101013003202600158,202600158,2026-07-24,Bengaluru City,Upparpet PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44798,101073059202600030,202600030,2026-07-24,Hubballi-Dharwad City,Hubballi-Dharwad Town PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44799,101053039202600019,202600019,2026-07-24,Mangaluru City,Mangaluru North PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44800,101303219202600021,202600021,2026-07-24,Raichur,Raichur Market PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44801,101293209202600039,202600039,2026-07-24,Uttara Kannada,Uttara Kannada Rural PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44802,101243177202600029,202600029,2026-07-24,Chikkaballapur,Chikkaballapur Town PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44803,101013001202600163,202600163,2026-07-24,Bengaluru City,Peenya PS,Crimes Against Women,Dowry,Under Investigation,Heinous,false
44804,101103084202600027,202600027,2026-07-24,Belagavi District,Belagavi District West PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44806,101273201202600021,202600021,2026-07-24,Gadag,Gadag East PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44807,301103086202600004,202600004,2026-07-24,Belagavi District,Belagavi District South PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44808,101163125202600037,202600037,2026-07-24,Tumakuru,Tumakuru Rural PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44809,101013009202600196,202600196,2026-07-24,Bengaluru City,Indiranagar PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
